username;date;retweets;favorites;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sportinfo_RS;2015/11/19;0;0;"Ovako je Simonović pokušao da izbori produžetak http://fb.me/4CQInEMHG ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sexStiven;2015/11/19;0;1;"@IMPERIALHESSIAN ne može ni jedan pas da se izbori sa vukom";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N7_Titan;2015/11/19;1;1;"@Serdjosega Pa neki sigurno misle da se mogu dobiti izbori na lajni ;) Većina opcizionih više govori ovde nego što kažu u Skupštini ;)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cRo4Ti4;2015/11/19;0;0;"#izboriHR svima jasno da hrvatskome političaru reforme su bit djelovanja za bolju hrvatsku,isključivo za napredak nacionalni kao i mentalni";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cRo4Ti4;2015/11/19;0;0;"#izboriHR da se provede lustracija postao bi i mogući realni nacionalni sabor koji isključivo u korist naroda radi. sve drugo poslje dogovor";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MKGorgiNaumov;2015/11/19;0;0;"Според математиката на Героски, ВМРО;ДПМНЕ ќе освои 68 пратеници на наредните избори http://fb.me/7E4T80Phl ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MatkoSanic;2015/11/19;0;1;"Dok Most ispregovara sa svima proći će 4 godine i eto novi izbori.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
novi_pogledi;2015/11/19;0;0;"U Hrvatskoj igre prijestolja dok Predsjednica iz Turske poziva na zajedništvo #izbori2015 https://www.facebook.com/NoviPogledi/posts/733151073494914 … pic.twitter.com/okRAPdYBTF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuzma2103;2015/11/19;0;1;"A nije mi jasno, spremaju se i jedva cekaju #izbori a sva istrazivanja pokazuju da nece preci #cenzus #ds #KoJeOvdeLud";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dariodalmacija;2015/11/19;0;3;"HDZ: Brišemo riječ "regija" iz hrvatskog rječnika. Previše je jugoslavenska.... bljak! #izbori2015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AlterAnthony;2015/11/19;1;0;"@markojurci Kosoru se sad i Karamarko pridružio. Nakon izbora je ušutio, ali sad opet prijeti i najavljuje: http://www.tportal.hr/vijesti/parlamentarni;izbori;2015/405396/Manjinci;bi;trebali;ici;s;onim;koji;formira;vladu;to;cemo;promijeniti.html …";;;;;;;;;;;;;;;;;;
BojanDjuric78;2015/11/19;1;2;"@Voja_Stevanovic Srz politickog Zapada ; pluralizam, parlament. demokratija, izbori, svojina...nisu nestali. I u njima se moze traziti novo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SticVilinstic;2015/11/19;0;1;"[OZBILJNO] Koje su vam prognoze sa raspletom #izboriHR ? Meni nekako smrdi da ce se HDZ docepat vlasti iako im puno fali. al bez #karamarko";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DzonkaDzonka23;2015/11/19;0;7;"U aprilu izbori aj' da osnujemo Tviterasku stranku.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VolimPartizana;2015/11/19;0;0;"Trener košarkaša Partizana Petar Božić rekao je da njegova ekipa mora da se izbori sa pritiskom, a da dobri... http://fb.me/1Uj02i48J ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pratimsunce;2015/11/19;0;2;"@igord_pfc @colovic86 @lolekbolekcar @VukPFC @a_nj_a_89 @krsmanovic32 morace da se aktivira da izbori svoje mesto u petorci";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaroAlavanja;2015/11/19;0;3;"Manjinci bi trebali ići s kim god žele, a ne kako netko kaže #politikahr #izborihr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TajanaKorkyra;2015/11/19;0;3;"Branko Grčić je dosad jedini sudionik sva tri sastanka. Nek širi optimizam čovik ga šalju. #politikahr #izboriHR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TajanaKorkyra;2015/11/19;0;0;"Vec sutra nastavak pregovora @NLMost sa @SDPHrvatske i @HDZ001. Teme: zaštita okoliša i energetika. #izboriHr #politikahr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nszoranans;2015/11/19;0;7;"Izbori??? Pa otimačina vam bolje ide.... https://twitter.com/MarijaFotic/status/667429539858030594 …";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tamtamant;2015/11/19;0;1;""Jedino što ima veze sa tobom si ti sam. I izbori koje ti sam sa sobom praviš."";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djovanoti;2015/11/19;0;0;"Mogući opšti izbori u aprilu ili maju http://www.danas.rs/danasrs/politika/moguci_opsti_izbori_u_aprilu_ili_maju.56.html?news_id=311430 … #vesti #feedly";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r3r00t3d;2015/11/19;0;0;"Kakav psiho. http://www.tportal.hr/vijesti/parlamentarni;izbori;2015/405396/Manjinci;bi;trebali;ici;s;onim;koji;formira;vladu;to;cemo;promijeniti.html … Bit ce da je dr. Ivu zaboravio, on je rijesio sve manjince, ali on valjda nije dovoljno desno...";;;;;;;;;;;;;;;;;;
balkan021;2015/11/19;0;2;"Babić i dalje pun hvale za Most, a za @pametno_org piše da je Hrvatska preglupa, zato se #Pametno nije moglo dogoditi :D #izborihr #respect";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forestlender;2015/11/19;0;0;"Izbori kasne, DS preti ; šatorima | Beograd | Novosti.rs http://www.novosti.rs/vesti/beograd.74.html:577521;Izbori;kasne;DS;preti;;;satorima … Ma da ukinemo mi izbore, skupo je to država !!!";;;;;;;;;;;;;;;;;;;;;;;
vtinfo;2015/11/19;0;0;"Zbog neuspjeha HDZ;a želio zapaliti lampaš, pa ga u gradskoj tvrtki degradirali http://buff.ly/1SIlhaW  #izboriRH pic.twitter.com/1gzZ4rrXf8";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZojaNesic;2015/11/19;0;1;"@dekisasenjaka Što sam starija i što su bliže izbori ja češće poželim da davim.... uvrćem.... čupam....,valjda će doći vreme i za zagrljaje";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
