izbori2015_user,count(*)
Little_Efi,16
mbcated,16
NatkoBeck,16
NebojsaG,16
petra_jansa,16
Pezoleta,16
SandraBasan,16
TelegramHR,16
trockyy,16
bonvivant09,15
b_marilena,15
dinkoduric,15
GoranVR,15
hrvojeh,15
john_milton69,15
ListazaRijeku,15
mborasmandic,15
TomislavB,15
UrbanaSeljacina,15
utikejt,15
Vanai,15
Zdravko_Ivic,15
AntiKomentar,14
eccesulemme,14
EUPARTYEFA,14
Gornjapolica,14
jeleceva,14
kristian_zg,14
kustravica,14
tejcos,14
ukrajina_hr,14
zihnszg,14
69trut,13
anja_nez,13
Asterix_Cro,13
Brunoblumen,13
croarsenal3,13
cupko17,13
DLenarcic,13
FPZGhr,13
greta6g,13
ivicafurjan,13
jasamboginja,13
jazmaj1,13
kachira2,13
kneza1005,13
LMoronko,13
mali_od_bubnja,13
mislavbusic,13
navidakovic,13
slaylicious,13
voodoocarp,13
AniNita253,12
barbaraslade,12
BNT_NEWS,12
BojanBenedicic,12
brnskr23,12
DalmatinskiP,12
delta_machine,12
drBacinger,12
duje_kh,12
Irma_A_P,12
Jakov,12
JoStanic,12
mirna_gru,12
msrsan,12
NatachaRaja,12
nuklearna,12
OknarMartyr,12
Pjegavica,12
strings_kings,12
tihomirladisic,12
t_josip,12
votofinish,12
_Jadranka_Kosor,12
Azy888,11
a_jukic,11
BarbaR_ZD,11
BorisHavel,11
branimirsage,11
DamirPlaninic,11
DijanaErakovic,11
freshpressinfo,11
fsohr,11
gile2004,11
glasnojasno,11
ipopic,11
JanneRiitakorpi,11
LndnSky,11
Luka_Kalua,11
MarinaHinic,11
Mirna_Kukec,11
mkundek,11
mzdelar,11
nedeljko,11
RusmirNefic,11
seyo_keydura,11
Shakall25,11
shokre_hrvoje,11
Simonovsky,11
SToptimiST,11
TajanaAcman,11
tvrtkobarun,11
VladimirMosbah,11
zeljkabaric,11
anominan,10
b0b0VK,10
capanigo,10
CarminArmina,10
domagoj_papo,10
EuropeElects,10
Express_HR,10
gojutrisa,10
inatelebuh,10
Ineska008,10
Irrenas,10
jajasmin,10
KajtebrigaKr,10
KapitalacTwitt,10
Kresendo,10
kroslav,10
Madrileno11,10
MislavLugonjic,10
mrak,10
mvarbanova1,10
nedobelic,10
Novossti,10
polojaci,10
sanjapunosanja,10
sanjinbuzo,10
srecko_matic,10
stipurina,10
tea_bensek,10
vladokrstevski,10
ZgodniToni,10
Zokxx,10
as19story,9
brankocovic,9
brLe_zg,9
CallMeMilan,9
CdBalkans,9
cyberkoza,9
DankoRunic,9
doRIs_MM,9
FilipCukanovich,9
filipovic_bnm,9
gradjanskiodgoj,9
GreenEyedGirl5_,9
hrco01,9
itomic13,9
iva_zagrad,9
ivicasimic,9
ivospigel,9
jerkovic7,9
josip_kregar,9
KresimirGalic,9
krkelectric,9
megatriv,9
mivandic,9
mmsanje222,9
